PROVINCIA;POBLACION;CP
VALENCIA;ROCAFORT;46111
VALENCIA;SAGUNTO ;46500
VALENCIA;SAN ANTONIO DE BENAGEBER;46184
VALENCIA;SAN MARCELINO;46170
VALENCIA;SANATORIO DE PORTA-COELI;46117
VALENCIA;SEDAVI;46910
VALENCIA;SENYERA;46669
VALENCIA;SERRA;46118
VALENCIA;SILLA;46460
VALENCIA;SIMAT DE LA VALLDIGNA;46750
VALENCIA;SOLLANA;46430
VALENCIA;SOT DE CHERA;46168
VALENCIA;SUECA;46410
VALENCIA;SUMACÁRCER;46295
VALENCIA;TAVERNES BLANQUES;46016
VALENCIA;TAVERNES DE LA VALLDIGNA, DE;46760
VALENCIA;TORRENT;46900
VALENCIA;TORRES-TORRES;46148
VALENCIA;TURIS;46200
VALENCIA;URB MONASTERIOS  PUÇOL;46530
VALENCIA;URB. ALFINACH  (PUÇOL);46530
VALENCIA;URB. MONTE PICAYO (PUÇOL);46540
VALENCIA;VALDELIRIA;46160
VALENCIA;VALTERNA (PATERNA);46980
VALENCIA;VEDAT DE TORRENTE, EL;46901
VALENCIA;VENTA DEL EMPERADOR;46135
VALENCIA;VENTAS DE BUÑOL, LAS;46360
VALENCIA;VENTAS POBLA VALLBONA;46185
VALENCIA;VILAMARXANT;46191
VALENCIA;VILLANUEVA DE CASTELLON;46270
VALENCIA;VINALESA;46114
VALENCIA;XÀTIVA;46800
VALENCIA;XIRIVELLA;46570
VALENCIA;YATOVA;46367
VALLADOLID;ARROYO DE LA ENCOMIENDA;47195
